,d1,d2,d3,d4,d5,d6,Temperature,Humidity,Weather
0,30.521,20.997,23.296,13.554,23.684,17.52,72.2,0.58,X
1,29.793,22.064,22.486,13.552,23.43,17.853,72.2,0.58,X
2,30.487,23.513,24.087,12.388,22.616,20.043,72.2,0.58,X
3,30.586,21.338,22.434,9.3784,22.261,19.03,72.2,0.58,X
4,30.259,25.19,19.393,11.249,22.058,18.123,72.2,0.58,X
5,29.65,24.573,22.663,11.356,25.473,18.692,72.2,0.58,X
6,29.948,25.337,24.775,7.5331,18.219,21.156,72.2,0.58,X
7,30.347,21.541,21.355,7.5331,20.803,19.994,72.2,0.58,X
8,30.109,17.984,22.624,7.5331,19.049,17.962,72.2,0.58,X
9,30.285,22.44,23.357,6.3668,24.813,12.863,72.2,0.58,X
10,30.183,26.466,23.357,10.911,24.623,23.404,72.2,0.58,X
11,30.44,25.709,23.214,10.543,26.812,13.554,72.2,0.58,
12,30.392,27.622,22.05,9.208,24.847,23.685,72.2,0.58,
13,28.872,25.598,23.508,9.8526,18.672,15.6,72.2,,
14,30.28,27.959,22.613,9.8526,23.29,23.95,72.2,,
15,25.593,19.559,23.553,10.542,23.397,19.327,72.2,,
16,23.131,24.157,23.629,9.8522,23.214,16.035,72.2,,
17,19.395,20.51,24.042,9.208,23.66,25.231,72.2,,
18,28.764,20.693,24.837,9.8525,25.059,25.677,,,
19,8.2385,23.54,23.357,9.8522,23.858,27.506,,,
20,29.924,22.832,24.104,11.249,23.045,25.404,,,
21,27.336,26.693,22.261,11.249,22.26,25.661,,,
22,24.769,23.865,20.197,9.3783,20.91,25.91,,,
23,18.33,24.316,13.357,10.543,26.091,26.544,,,
24,17.695,25.561,20.945,8.2389,24.193,27.072,,,
25,23.079,20.746,22.048,10.28,24.598,26.677,,,
26,21.835,23.089,21.76,7.5332,23.629,26.717,,,
27,18.137,26.081,23.909,10.791,25.602,25.651,,,
28,28.253,25.156,22.862,9.208,24.087,25.816,,,
29,12.302,23.149,22.495,9.3783,20.197,26.93,,,
30,29.168,23.91,21.356,10.28,13.553,25.627,,,
31,29.198,23.55,23.357,9.2079,14.722,26.197,,,
32,25.007,24.44,21.711,9.8525,12.863,27.304,,,
