,d1,d2,d3,d4,d5,d6
0,23.079,15.448,20.618000000000002,-inf,23.715,26.883000000000003
1,19.605999999999998,13.755,20.076,10.277999999999999,21.093000000000004,26.535999999999998
2,20.898000000000003,16.582,20.346,7.7808,21.893,26.785
3,21.419,17.315,18.132,-1.7611,22.616,28.276
4,20.347,15.777999999999999,21.418000000000003,7.5324,26.3,28.5
5,19.31,10.800999999999998,16.197,5.2286,25.398000000000003,27.671
6,20.91,19.92,18.105999999999998,5.2286,14.304,27.611
7,18.769000000000002,10.901,18.408,4.771,16.368,27.17
8,19.941,11.491,16.872,9.208,13.921,24.951
9,20.452,16.166,19.327,6.3668,20.945,25.756
10,20.991,18.334,19.715,2.2183,19.229,17.781
11,21.093000000000004,15.81,21.502,4.2596,16.564,14.770999999999999
12,21.51,19.785,19.31,2.2183,16.368,27.99
13,15.270999999999999,17.217,19.46,4.2595,16.840999999999998,18.489
14,15.228,23.574,19.458,-1.7611,15.270999999999999,17.781
15,9.2063,7.1672,19.207,2.2167,19.525,23.879
16,24.941,22.715999999999998,21.419,4.7706,22.535999999999998,7.7246
17,20.899,22.359,20.543000000000003,2.2183,7.7742,20.874000000000002
18,13.356,10.843,19.119,5.2286,22.47,21.826999999999998
19,22.951,17.349,18.345,2.2179,20.195,21.355
20,24.842,16.077,17.608,2.2183,22.218000000000004,20.906999999999996
21,19.327,20.88,17.732,4.2595,13.356,21.682
22,18.408,16.108,19.101,4.2595,20.347,21.419
23,29.287,17.352,20.197,2.2183,23.397,21.291999999999998
24,27.299,20.255,17.533,2.2183,20.541999999999998,22.127
25,19.572,17.629,18.082,2.2184,19.31,22.748
26,23.288,18.608,16.96,5.2287,21.682,22.535
27,18.56,20.227999999999998,17.533,2.2177,20.517,21.281
28,17.483,19.097,21.511999999999997,5.2286,14.722000000000001,19.653
29,24.572,14.872,19.574,2.2183,19.882,23.508000000000003
30,2.1354,17.076,19.605,5.2286,22.471,20.515
31,20.926,16.879,21.712,1.2491,22.388,21.509
32,20.258,17.939,21.680999999999997,4.2594,21.094,22.846999999999998
33,14.958,16.727999999999998,18.826,5.2276,21.712,22.049
34,14.552,17.678,22.13,2.2184,22.495,21.511999999999997
35,18.044,17.977,21.093000000000004,2.2183,23.396,22.569000000000003
36,12.147,21.487,20.543000000000003,2.2183,23.143,22.049
37,13.649000000000001,18.976,21.093000000000004,4.7705,22.624000000000002,21.511999999999997
38,19.782,20.328,21.865,2.2182,20.387,21.303
39,17.607,19.264,21.910999999999998,-4.7714,21.254,22.537
40,21.526,19.261,21.779,5.2287,22.13,20.239
41,18.762,17.113,20.197,2.2183,21.863000000000003,18.491
42,4.5751,15.95,20.28,2.2183,21.419,20.91
43,9.2536,5.9925,18.767,5.2286,22.13,20.517
44,24.239,17.861,20.849,2.2183,21.682,22.049
45,18.832,13.126,20.276,5.2286,20.070999999999998,21.183000000000003
46,25.611,16.749000000000002,20.347,-1.761,19.205,22.975
47,24.679000000000002,6.8081,21.826999999999998,4.2595,20.347,20.28
48,22.061,15.895,20.180999999999997,2.2183,19.461,21.836
49,25.607,19.441,20.741999999999997,5.2286,22.116999999999997,21.711
50,23.781,18.99,21.592,2.2182,21.592,22.156
51,23.236,9.7318,20.91,5.2004,20.543000000000003,21.291999999999998
52,25.095,18.143,20.197,4.2595,20.518,21.093000000000004
53,24.74,18.127,20.452,1.2492,21.680999999999997,22.213
54,25.22,18.124000000000002,21.041999999999998,-1.7611,20.927,21.078000000000003
55,25.022,19.758,20.347,4.2594,21.183000000000003,22.048000000000002
56,24.291,19.975,21.355,1.2481,22.217,22.32
57,24.432,17.253,19.822,-1.7611,21.094,21.412
58,24.224,19.333,19.715,1.2492,21.291,22.217
59,24.444000000000003,12.571,20.945,9.3778,20.197,20.184
60,25.278000000000002,20.254,21.75,11.356,20.743000000000002,21.826
61,24.439,19.352,21.115,8.238999999999999,20.791,20.898000000000003
62,24.590999999999998,17.271,20.991,2.2184,20.346,20.741999999999997
63,24.701,16.837,20.070999999999998,5.2284,20.743000000000002,21.779
64,24.625999999999998,10.96,19.46,2.2177,21.416,20.333
65,23.206999999999997,17.211,19.327,4.771,21.502,19.378
66,24.182,16.779,18.769000000000002,2.2183,22.98,20.505
67,23.605999999999998,18.922,19.715,2.2183,20.278,22.404
68,23.320999999999998,18.05,19.837,4.7711,21.561999999999998,21.749000000000002
69,24.538,16.936,19.323,4.2595,21.822,20.656
70,23.753,12.829,18.407,6.3678,22.583000000000002,20.898000000000003
71,25.243000000000002,18.345,19.559,2.2183,21.682,21.623
72,24.247,18.715,19.897000000000002,2.2176,20.451,21.249000000000002
73,23.784000000000002,17.599,19.205,2.2181,20.616999999999997,22.111
74,23.68,18.007,19.207,4.2595,23.506,20.851
75,24.002,15.702,20.91,4.2595,19.913,20.543000000000003
76,24.103,14.873,20.347,2.2184,22.978,21.303
77,24.476999999999997,15.53,19.897000000000002,-4.7716,19.327,20.183
78,23.741999999999997,17.715999999999998,21.593000000000004,4.771,19.714000000000002,22.404
79,25.224,16.684,17.609,7.7814,20.866,21.116
80,24.480999999999998,17.042,19.102,-1.7611,24.35,22.215
81,24.233,16.923,20.898000000000003,1.1068,24.335,20.91
82,24.37,16.475,20.91,5.2286,25.504,20.347
83,24.295,17.824,20.347,2.2183,22.654,20.346
84,21.559,16.795,20.618000000000002,1.2492,24.365,20.516
85,24.365,16.033,20.347,2.2183,23.82,23.131
86,25.394000000000002,17.799,20.070999999999998,-1.7611,21.835,22.56
87,24.998,16.133,21.836,2.2184,19.375999999999998,23.552
88,24.159000000000002,16.782,21.302,1.2492,19.574,22.156
89,25.566,15.439,21.183000000000003,2.2183,25.163,22.13
90,24.266,17.209,21.259,2.2183,20.184,23.715999999999998
91,25.840999999999998,16.836,22.049,-1.7611,21.389,22.049
92,24.043000000000003,16.631,20.541999999999998,1.2482,23.873,22.98
93,24.927,17.077,20.543000000000003,5.2286,21.1,22.156
94,23.656999999999996,17.941,19.882,8.2389,20.898000000000003,21.905
95,24.599,14.568,19.327,6.367999999999999,20.085,23.355999999999998
96,23.628,16.725,20.79,6.367999999999999,18.956,22.584
97,25.614,17.816,20.91,2.2182,18.346,21.912
98,24.19,14.943,20.543000000000003,4.771,18.827,22.206999999999997
99,24.366999999999997,16.922,20.541999999999998,2.2182,16.727,22.388
100,23.866,17.975,20.346,6.3681,17.805,21.522
101,25.533,18.378,20.91,1.1337,19.605999999999998,21.682
102,24.175,16.158,19.46,6.2531,19.715,21.910999999999998
103,25.622,16.354,20.656,1.2492,20.689,22.831999999999997
104,24.855999999999998,17.738,20.741999999999997,2.2147,19.563,22.56
105,24.432,17.028,20.909000000000002,5.2286,19.574,22.218000000000004
106,24.808000000000003,16.227999999999998,20.346,5.2286,19.198,22.899
107,24.535,17.274,19.820999999999998,5.2285,20.346,23.081
108,24.589000000000002,16.56,19.525,2.2174,19.326,22.951
109,24.572,17.219,19.881,2.2183,20.791,23.214000000000002
110,25.430999999999997,16.355999999999998,20.347,1.2493,19.208,23.206999999999997
111,24.508000000000003,16.034000000000002,20.517,2.2183,19.822,23.343000000000004
